count,mean,std,min,25%,50%,75%,max
87396.0,0.27489816467572886,0.4464655020472212,0.0,0.0,0.0,1.0,1.0
87396.0,79.89136802599661,86.05232533962675,0.0,11.0,49.0,125.0,737.0
87396.0,2016.2102956657054,0.6861020602454458,2015.0,2016.0,2016.0,2017.0,2017.0
87396.0,26.838333562176757,13.674571678018653,1.0,16.0,27.0,37.0,53.0
87396.0,15.815540757014052,8.835146445793905,1.0,8.0,16.0,23.0,31.0
87396.0,1.005263398782553,1.0319213109734096,0.0,0.0,1.0,2.0,19.0
87396.0,2.6253947549086916,2.0535839211566556,0.0,1.0,2.0,4.0,50.0
87396.0,1.8757952309030161,0.6265002108806036,0.0,2.0,2.0,2.0,55.0
87396.0,0.13863334706393884,0.45587140209452354,0.0,0.0,0.0,0.0,10.0
87396.0,0.010824294018032862,0.11359653697158523,0.0,0.0,0.0,0.0,10.0
87396.0,0.03907501487482264,0.19377457966615438,0.0,0.0,0.0,0.0,1.0
87396.0,0.03041329122614307,0.36914526193007413,0.0,0.0,0.0,0.0,26.0
87396.0,0.18399011396402581,1.7318937012117175,0.0,0.0,0.0,0.0,72.0
87396.0,0.27160281935100006,0.7272452671228896,0.0,0.0,0.0,0.0,21.0
87396.0,82.95785848322578,108.60540006303638,1.0,9.0,14.0,234.0,535.0
87396.0,0.7495651974918761,10.015730937984571,0.0,0.0,0.0,0.0,391.0
87396.0,106.33724644148474,55.013953291892335,-6.38,72.0,98.1,134.0,5400.0
87396.0,0.08422582269211405,0.2815332738015719,0.0,0.0,0.0,0.0,8.0
87396.0,0.6985674401574443,0.8319459785019637,0.0,0.0,0.0,1.0,5.0
